,FLOAVG_mean,FLOAVG_std,FLOAVG_skew,FLOAVG_max,FLOAVG_median,FLOAVG_min,FLOAVG_energy,FLOAVG_entropy,FLOAVG_zcr_mean,FLOAVG_zcr_std,FLOAVG_zcr_skew,FLOAVG_zcr_max,FLOAVG_zcr_median,FLOAVG_zcr_min,FLOAVG_spec_roll_off_mean,FLOAVG_spec_roll_off_std,FLOAVG_spec_roll_off_skew,FLOAVG_spec_roll_off_max,FLOAVG_spec_roll_off_median,FLOAVG_spec_roll_off_min,FLOAVG_spec_centroid_mean,FLOAVG_spec_centroid_std,FLOAVG_spec_centroid_skew,FLOAVG_spec_centroid_max,FLOAVG_spec_centroid_median,FLOAVG_spec_centroid_min,FLOAVG_spec_contrast_mean,FLOAVG_spec_contrast_std,FLOAVG_spec_contrast_skew,FLOAVG_spec_contrast_max,FLOAVG_spec_contrast_median,FLOAVG_spec_contrast_min,FLOAVG_spec_bandwidth_mean,FLOAVG_spec_bandwidth_std,FLOAVG_spec_bandwidth_skew,FLOAVG_spec_bandwidth_max,FLOAVG_spec_bandwidth_median,FLOAVG_spec_bandwidth_min
32,3.8235424761904766,1.057676682006262,-1.0707036403858914,5.83,4.08,0.7399999999999999,15.738157030892575,-45289.05507162571,0.0,0.0,,0.0,0.0,0.0,4258.19091796875,5.38330078125,0.0,4263.57421875,4258.19091796875,4252.8076171875,1745.2917013497854,1.3982745022362906,0.0,1746.6899758520217,1745.2917013497854,1743.893426847549,18.422611870669883,3.269373126544961,1.6266223125334646e-15,21.691984997214846,18.422611870669883,15.153238744124923,2634.6696571273465,11.999814246828464,0.0,2646.669471374175,2634.6696571273465,2646.669471374175
33,3.784186261904762,1.0141336870369722,-1.0995147940818306,5.72,4.09,1.25,15.348532799971938,-43686.06853695799,0.0,0.0,,0.0,0.0,0.0,3849.06005859375,59.21630859375,0.0,3908.2763671875,3849.06005859375,3789.84375,1598.0343709676897,15.044628189458308,0.0,1613.078999157148,1598.0343709676897,1582.9897427782314,18.182845304539775,2.431641690562543,0.0,20.614486995102318,18.182845304539775,15.751203613977232,2501.8392358945684,3.879081982469188,-1.7584129564527445e-13,2505.7183178770374,2501.8392358945684,2505.7183178770374
34,4.264754690476191,0.5456851194821588,0.0018838418051896197,6.239999999999999,4.258333333333333,2.39,18.485904819562922,-54514.113529562266,0.0,0.0,,0.0,0.0,0.0,4360.4736328125,53.8330078125,0.0,4414.306640625,4360.4736328125,4306.640625,1788.6929721911504,19.65163430262396,0.0,1808.3446064937743,1788.6929721911504,1769.0413378885264,17.054652516440314,1.2310340453770667,4.344330909161923e-15,18.285686561817382,17.054652516440314,15.823618471063249,2619.5534853883037,13.082628881312758,0.0,2632.6361142696164,2619.5534853883037,2632.6361142696164
35,3.5534361190476194,1.2039151301105393,-0.7029985335154663,5.55,3.984666666666667,1.06,14.076319892661282,-39742.49674439496,0.0,0.0,,0.0,0.0,0.0,4365.85693359375,253.01513671875,0.0,4618.8720703125,4365.85693359375,4112.841796875,1724.5979112187729,66.55632136156453,5.133169029264979e-15,1791.1542325803375,1724.5979112187729,1658.0415898572085,16.738825152600448,1.5548967006254681,-3.484878259264999e-15,18.293721853225914,16.738825152600448,15.183928451974978,2640.0105888707185,55.21325826570069,-1.2363062467184976e-14,2695.223847136419,2640.0105888707185,2695.223847136419
36,3.857748261904762,1.0720374631723968,-1.1230256883228458,5.45,4.156666666666666,1.16,16.031485974674318,-46435.13053303211,0.0,0.0,,0.0,0.0,0.0,4215.12451171875,16.14990234375,0.0,4231.2744140625,4215.12451171875,4198.974609375,1695.4174701059756,23.584085071719414,1.442136637152508e-14,1719.001555177695,1695.4174701059756,1671.8333850342563,18.231741189864124,3.276095684210796,-1.6166293453698382e-15,21.50783687407492,18.231741189864124,14.955645505653326,2631.568068161785,7.11673081286267,9.588311895275987e-14,2638.684798974648,2631.568068161785,2638.684798974648
37,3.9731394583333337,1.138900469926238,-1.1186608027226042,6.39,4.34,1.23,17.082931435763502,-50678.06667234647,0.0,0.0,,0.0,0.0,0.0,4263.57421875,139.9658203125,0.0,4403.5400390625,4263.57421875,4123.6083984375,1706.8057713295727,36.72642334710804,0.0,1743.5321946766808,1706.8057713295727,1670.0793479824647,17.48719181425178,3.06205247308095,0.0,20.54924428733273,17.48719181425178,14.42513934117083,2637.267928085396,32.29516403537809,0.0,2669.563092120774,2637.267928085396,2669.563092120774
38,4.111769642857142,1.0578420630833796,-1.5443459272101294,5.86,4.419999999999999,1.06,18.025679426350056,-53961.46722043397,0.0,0.0,,0.0,0.0,0.0,4301.25732421875,69.98291015625,0.0,4371.240234375,4301.25732421875,4231.2744140625,1666.643489726957,13.8544644206454,0.0,1680.4979541476023,1666.643489726957,1652.7890253063115,17.969461475335258,3.426501386145439,0.0,21.395962861480697,17.969461475335258,14.542960089189819,2620.992924245693,4.08961251195683,-1.6673192256535852e-13,2625.0825367576495,2620.992924245693,2625.0825367576495
39,4.389259142857143,0.7572182904661034,-1.5796028858376367,6.21,4.509,1.3614285714285717,19.83897536257143,-60280.06938402059,0.0,0.0,,0.0,0.0,0.0,4198.974609375,21.533203125,0.0,4220.5078125,4198.974609375,4177.44140625,1711.588246921726,24.442670315105033,0.0,1736.030917236831,1711.588246921726,1687.145576606621,20.02983895977443,0.14132340314851177,0.0,20.171162362922942,20.02983895977443,19.88851555662592,2615.8975874196403,14.69651267358472,-4.634486082214665e-14,2630.594100093225,2615.8975874196403,2630.594100093225
40,4.064644,1.0792598538981344,-1.268969524012053,5.76,4.41,1.1,17.68613267897222,-52774.997381576206,0.0,0.0,,0.0,0.0,0.0,3585.2783203125,86.1328125,0.0,3671.4111328125,3585.2783203125,3499.1455078125,1505.3466477303164,42.34466698494498,0.0,1547.6913147152613,1505.3466477303164,1463.0019807453714,21.16351491415713,2.0936107419107906,0.0,23.25712565606792,21.16351491415713,19.06990417224634,2508.6598377930713,19.0246415909196,0.0,2527.684479383991,2508.6598377930713,2527.684479383991
41,4.0528588333333335,1.1195714129385381,-1.2728627439892268,5.77,4.45,1.31,17.67910487159722,-52880.41324519695,0.0,0.0,,0.0,0.0,0.0,3741.39404296875,48.44970703125,0.0,3789.84375,3741.39404296875,3692.9443359375,1500.5966069355777,6.684815273121785,0.0,1507.2814222086995,1500.5966069355777,1493.911791662456,17.47992029477445,2.8658419689912797,0.0,20.345762263765728,17.47992029477445,14.614078325783169,2495.497769974741,25.096932836070664,0.0,2520.5947028108117,2495.497769974741,2520.5947028108117
