,ROPA_mean,ROPA_std,ROPA_skew,ROPA_max,ROPA_median,ROPA_min,ROPA_energy,ROPA_entropy,ROPA_zcr_mean,ROPA_zcr_std,ROPA_zcr_skew,ROPA_zcr_max,ROPA_zcr_median,ROPA_zcr_min,ROPA_spec_roll_off_mean,ROPA_spec_roll_off_std,ROPA_spec_roll_off_skew,ROPA_spec_roll_off_max,ROPA_spec_roll_off_median,ROPA_spec_roll_off_min,ROPA_spec_centroid_mean,ROPA_spec_centroid_std,ROPA_spec_centroid_skew,ROPA_spec_centroid_max,ROPA_spec_centroid_median,ROPA_spec_centroid_min,ROPA_spec_contrast_mean,ROPA_spec_contrast_std,ROPA_spec_contrast_skew,ROPA_spec_contrast_max,ROPA_spec_contrast_median,ROPA_spec_contrast_min,ROPA_spec_bandwidth_mean,ROPA_spec_bandwidth_std,ROPA_spec_bandwidth_skew,ROPA_spec_bandwidth_max,ROPA_spec_bandwidth_median,ROPA_spec_bandwidth_min
3,33.11660077768116,11.302690541140448,0.9489746593247413,59.53013594202898,24.4524,24.4524,1224.460060537098,-8977212.592862867,0.0,0.0,,0.0,0.0,0.0,2874.6826171875,258.3984375,0.0,3133.0810546875,2874.6826171875,2616.2841796875,1228.9957139820626,72.09776868487313,4.7371213948729655e-15,1301.0934826669359,1228.9957139820626,1156.8979452971896,15.441739452265201,0.7312716744540975,0.0,16.1730111267193,15.441739452265201,14.710467777811104,2402.020969548604,52.859492952066375,0.0,2454.8804625006705,2402.020969548604,2454.8804625006705
4,73.43258460374742,11.304850940540293,-0.7464321288739831,97.2873,78.02378000000002,38.3931,5520.144136374356,-47805297.09067977,0.0,0.0,,0.0,0.0,0.0,2783.16650390625,285.31494140625,0.0,3068.4814453125,2783.16650390625,2497.8515625,1218.5687458053524,75.98775552310849,0.0,1294.5565013284609,1218.5687458053524,1142.5809902822439,18.19693681999255,3.6940169999309482,0.0,21.8909538199235,18.19693681999255,14.502919820061603,2330.631177684877,78.26111910865916,8.6825646870749e-15,2408.8922967935364,2330.631177684877,2408.8922967935364
5,78.64928814892858,5.021609533476734,-0.5104264393120583,87.7036,79.6815,68.8699,6210.927088639901,-54296438.67138158,0.0,0.0,,0.0,0.0,0.0,2573.2177734375,376.8310546875,0.0,2950.048828125,2573.2177734375,2196.38671875,1159.3395514531646,125.83729495527064,0.0,1285.1768464084353,1159.3395514531646,1033.502256497894,17.72196466892874,3.195502584789411,1.6331796042293712e-15,20.917467253718154,17.72196466892874,14.526462084139332,2297.440335350657,74.71957793924184,0.0,2372.1599132898987,2297.440335350657,2372.1599132898987
6,80.17147532095238,7.764803158878849,-2.2392289290331284,98.2203,81.803,43.2231,6487.757623234213,-57057948.681070015,0.0,0.0,,0.0,0.0,0.0,2933.89892578125,414.51416015625,0.0,3348.4130859375,2933.89892578125,2519.384765625,1283.7557646779608,103.27035795896859,0.0,1387.0261226369294,1283.7557646779608,1180.4854067189922,18.569735996152314,4.043833270149282,0.0,22.613569266301596,18.569735996152314,14.525902726003032,2431.654780365833,80.22286750868057,-8.512018417812434e-15,2511.8776478745135,2431.654780365833,2511.8776478745135
7,68.08371520761905,20.118786015360342,-1.7245436720812852,87.5605,76.2197,9.098799999999997,5040.157827204036,-43575954.760669164,0.0,0.0,,0.0,0.0,0.0,2863.916015625,452.197265625,0.0,3316.11328125,2863.916015625,2411.71875,1251.6077146943267,136.6397464297247,0.0,1388.2474611240514,1251.6077146943267,1114.967968264602,19.087512497333318,2.4533240771965374,0.0,21.540836574529855,19.087512497333318,16.63418842013678,2349.365924763365,115.14510455311597,5.871707768620734e-15,2464.511029316481,2349.365924763365,2464.511029316481
8,80.86413797940476,6.097759095455172,-4.651798305973534,89.3475,81.8854,42.6196,6576.191477138418,-57877015.05403733,0.0,0.0,,0.0,0.0,0.0,2896.2158203125,570.6298828125,0.0,3466.845703125,2896.2158203125,2325.5859375,1257.7865137550048,160.35511110679636,0.0,1418.1416248618011,1257.7865137550048,1097.4314026482084,18.24697758636681,1.6000070753189828,3.360982146968921e-15,19.846984661685795,18.24697758636681,16.64697051104783,2409.3682948103933,113.37724953288625,0.0,2522.7455443432796,2409.3682948103933,2522.7455443432796
9,77.85286555023809,9.836381236704295,-0.6063407463868281,97.3708,78.5357,38.3911,6157.823070217238,-53916666.94978922,0.0,0.0,,0.0,0.0,0.0,2820.849609375,656.7626953125,0.0,3477.6123046875,2820.849609375,2164.0869140625,1213.65353489169,192.82037763352514,0.0,1406.4739125252152,1213.65353489169,1020.8331572581649,20.256469412088908,5.670154870631965,0.0,25.926624282720873,20.256469412088908,14.586314541456943,2387.523702029429,154.44974748521759,-4.486801740618616e-15,2541.9734495146463,2387.523702029429,2541.9734495146463
10,89.81899472571429,20.22730962624679,-2.3640628996022715,99.9096,98.8425,19.7979,8476.595868253946,-77298401.44360796,0.0,0.0,,0.0,0.0,0.0,2718.56689453125,339.14794921875,0.0,3057.71484375,2718.56689453125,2379.4189453125,1180.1672729624895,91.3511745449789,0.0,1271.5184475074684,1180.1672729624895,1088.8160984175106,16.903565519206616,2.5048592324618166,2.1475033002119086e-15,19.408424751668434,16.903565519206616,14.398706286744801,2324.0735926762873,69.99625993456357,0.0,2394.069852610851,2324.0735926762873,2394.069852610851
11,75.55612575738095,20.854134026779768,-0.11439108224190203,99.8702,73.55986847457626,25.1815,6143.623045472058,-54426016.643086724,0.0,0.0,,0.0,0.0,0.0,2793.93310546875,457.58056640625,0.0,3251.513671875,2793.93310546875,2336.3525390625,1211.7774692162573,124.91261732611588,0.0,1336.6900865423731,1211.7774692162573,1086.8648518901414,17.96187704252154,3.5020352814094515,0.0,21.46391232393099,17.96187704252154,14.459841761112088,2339.673646040953,133.5337961281116,0.0,2473.2074421690645,2339.673646040953,2473.2074421690645
12,57.7363384154762,5.145403096343664,2.920817824369387,94.0653,55.3658,55.3658,3359.9599466502546,-27338831.447192945,0.0,0.0,,0.0,0.0,0.0,2783.16650390625,392.98095703125,0.0,3176.1474609375,2783.16650390625,2390.185546875,1206.2553762733908,108.77505983906963,0.0,1315.0304361124604,1206.2553762733908,1097.4803164343211,16.83116590855026,2.4464558377137937,-2.1230299441931587e-15,19.277621746264053,16.83116590855026,14.384710070836466,2349.4833886508027,113.69925678562913,0.0,2463.182645436432,2349.4833886508027,2463.182645436432
