,HKLDAV_mean,HKLDAV_std,HKLDAV_skew,HKLDAV_max,HKLDAV_median,HKLDAV_min,HKLDAV_energy,HKLDAV_entropy,HKLDAV_zcr_mean,HKLDAV_zcr_std,HKLDAV_zcr_skew,HKLDAV_zcr_max,HKLDAV_zcr_median,HKLDAV_zcr_min,HKLDAV_spec_roll_off_mean,HKLDAV_spec_roll_off_std,HKLDAV_spec_roll_off_skew,HKLDAV_spec_roll_off_max,HKLDAV_spec_roll_off_median,HKLDAV_spec_roll_off_min,HKLDAV_spec_centroid_mean,HKLDAV_spec_centroid_std,HKLDAV_spec_centroid_skew,HKLDAV_spec_centroid_max,HKLDAV_spec_centroid_median,HKLDAV_spec_centroid_min,HKLDAV_spec_contrast_mean,HKLDAV_spec_contrast_std,HKLDAV_spec_contrast_skew,HKLDAV_spec_contrast_max,HKLDAV_spec_contrast_median,HKLDAV_spec_contrast_min,HKLDAV_spec_bandwidth_mean,HKLDAV_spec_bandwidth_std,HKLDAV_spec_bandwidth_skew,HKLDAV_spec_bandwidth_max,HKLDAV_spec_bandwidth_median,HKLDAV_spec_bandwidth_min
5,1281.3734303928572,216.85563888691127,-0.6292211649116298,1687.96,1387.3125,938.755,1688944.2362338088,-24308429260.47605,0.0,0.0,,0.0,0.0,0.0,2589.36767578125,597.54638671875,0.0,3186.9140625,2589.36767578125,1991.8212890625,1169.9034799119213,148.95053394947024,-2.325026383532916e-15,1318.8540138613914,1169.9034799119213,1020.9529459624509,17.254851060729788,2.6502700493921445,0.0,19.905121110121932,17.254851060729788,14.604581011337643,2348.5222338950616,117.71448768286359,-5.852403279448081e-15,2466.236721577925,2348.5222338950616,2466.236721577925
6,1415.0901205595237,17.97153504780615,-1.1006972959407282,1438.88,1420.5349999999999,1369.88,2002803.0253771422,-29061431491.49428,0.0,0.0,,0.0,0.0,0.0,2465.5517578125,689.0625,0.0,3154.6142578125,2465.5517578125,1776.4892578125,1123.147658058198,183.16573679904315,-8.33547028659441e-16,1306.313394857241,1123.147658058198,939.9819212591548,16.1519738645964,1.8906937775122614,0.0,18.04266764210866,16.1519738645964,14.261280087084138,2312.4415098743216,148.65679012182045,0.0,2461.098299996142,2312.4415098743216,2461.098299996142
7,1370.8889211785713,199.06997372850643,-1.3653260122855881,1617.75,1412.13,923.25,1918965.2886504158,-27835304264.04281,0.0,0.0,,0.0,0.0,0.0,2540.91796875,613.6962890625,0.0,3154.6142578125,2540.91796875,1927.2216796875,1151.5782746317686,156.82475218981892,2.112829019606143e-15,1308.4030268215877,1151.5782746317686,994.7535224419498,16.56174831282661,1.5081749689654984,0.0,18.069923281792107,16.56174831282661,15.05357334386111,2329.508868530925,129.51982388656552,0.0,2459.0286924174907,2329.508868530925,2459.0286924174907
8,1426.9955859761903,10.612412410464133,0.4044736729611525,1471.11,1425.9686666666666,1387.08,2036429.0256927009,-29582836003.026276,0.0,0.0,,0.0,0.0,0.0,2519.384765625,678.2958984375,0.0,3197.6806640625,2519.384765625,1841.0888671875,1136.4857009081895,183.64239469090995,-8.27073255602687e-16,1320.1280955990994,1136.4857009081895,952.8433062172795,16.094289011181047,2.0230179260774293,0.0,18.117306937258476,16.094289011181047,14.071271085103618,2321.0388853613867,146.58327472169663,4.6572272396268694e-15,2467.6221600830836,2321.0388853613867,2467.6221600830836
9,1380.415746511905,183.08354663710796,-1.6584900428518905,1648.55,1417.4850000000001,927.47,1939067.2182672415,-28134592069.224865,0.0,0.0,,0.0,0.0,0.0,2637.8173828125,527.5634765625,0.0,3165.380859375,2637.8173828125,2110.25390625,1175.0963324017775,135.9168740065512,2.5037085383063607e-15,1311.0132064083289,1175.0963324017775,1039.1794583952264,17.928431682641957,3.59450408972922,0.0,21.522935772371177,17.928431682641957,14.333927592912737,2356.3257208065843,105.81047598595796,0.0,2462.1361967925423,2356.3257208065843,2462.1361967925423
10,1423.0913735952379,22.947437541806337,0.7456796681371854,1493.48,1417.705,1380.57,2025715.6424909167,-29417352429.476097,0.0,0.0,,0.0,0.0,0.0,2551.6845703125,689.0625,0.0,3240.7470703125,2551.6845703125,1862.6220703125,1144.2268149572708,186.93211337492977,-8.55459852671305e-16,1331.1589283322005,1144.2268149572708,957.294701582341,16.12639208442349,1.9390636764888889,0.0,18.06545576091238,16.12639208442349,14.1873284079346,2327.5285042570367,148.49304206352394,4.550947228073898e-15,2476.021546320561,2327.5285042570367,2476.021546320561
11,1369.5396999047618,167.73266260686282,-1.7273802970402155,1641.21,1407.8274999999999,937.95,1903773.2357204128,-27579026548.484726,0.0,0.0,,0.0,0.0,0.0,2557.06787109375,629.84619140625,0.0,3186.9140625,2557.06787109375,1927.2216796875,1155.0942006281775,164.1067854239028,-2.1072716026228526e-15,1319.2009860520802,1155.0942006281775,990.9874152042746,17.16167369599029,3.343575469664554,0.0,20.505249165654845,17.16167369599029,13.818098226325738,2334.3785669844137,129.28929333744736,0.0,2463.667860321861,2334.3785669844137,2463.667860321861
12,1340.2500223511904,146.82241538729508,-1.9612283836064777,1662.22,1391.1637500000002,934.65,1817826.944072526,-26240239794.60405,0.0,0.0,,0.0,0.0,0.0,2406.33544921875,780.57861328125,0.0,3186.9140625,2406.33544921875,1625.7568359375,1110.7533945402108,205.58490679574174,0.0,1316.3383013359526,1110.7533945402108,905.1684877444691,18.555240725009337,4.111013909309005,0.0,22.666254634318342,18.555240725009337,14.444226815700333,2297.3546521302937,168.06113465449562,0.0,2465.4157867847894,2297.3546521302937,2465.4157867847894
13,1417.765756686508,62.081892142478566,-2.208303902924602,1587.7,1406.2075,943.95,2013913.9021648567,-29240570367.10341,0.0,0.0,,0.0,0.0,0.0,1851.85546875,344.53125,0.0,2196.38671875,1851.85546875,1507.32421875,928.5833175236137,63.70682247095806,0.0,992.2901399945717,928.5833175236137,864.8764950526556,15.986985347879017,1.8069405477806235,0.0,17.79392589565964,15.986985347879017,14.180044800098393,2135.5444170767114,55.20137595763822,-1.2457558599366462e-14,2190.7457930343494,2135.5444170767114,2190.7457930343494
14,1312.5868662261905,196.9540570944709,-1.0948890924105195,1653.4,1388.5749999999998,930.95,1761675.1819954633,-25408494540.382317,0.0,0.0,,0.0,0.0,0.0,2605.517578125,613.6962890625,0.0,3219.2138671875,2605.517578125,1991.8212890625,1165.6901810368893,167.75909436229057,9.863065461632187e-16,1333.44927539918,1165.6901810368893,997.9310866745988,16.830546634299726,0.9444469375191495,0.0,17.774993571818875,16.830546634299726,15.886099696780576,2326.616988367909,143.18153437975525,0.0,2469.7985227476643,2326.616988367909,2469.7985227476643
